Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
BSM,678,,,2.00,0.74,,0,-0.18,-3.89,-2.01,,47.87,,,,,
BTC,491,,,1.17,0.33,,0,-9.62,-12.34,-54.36,,44.70,,,,,
BTNC,268,,11.79,0.59,0.77,,1.89,4.78,5.12,2.41,,30.88,,448,409,0.01,1
BTS,"98,463","10,665,605.00",60.75,2.21,1.03,0.17,0.14,3.5,3.47,23.58,8.24,62.43,,872,855,0.3,3
BTW,"2,374",,22.21,1.66,0.41,0.07,0.14,8.18,8.52,5.63,,20.54,,615,538,-0.26,
BUI,404,,6.68,0.67,1.43,0.40,3.02,2.1,3.75,4.45,1.98,27.02,,424,452,-0.02,
BWG,"8,047","-101,696.00",22.89,2.63,0.63,0.04,0.09,11.14,13.17,19.24,1.76,83.47,13.88,511,461,0.62,3
CBG,"54,750","-38,627,575.00",36.75,7.97,0.39,0.60,1.49,19.68,22.56,14.73,1.90,24.68,,463,431,0.79,1
CCET,"13,292","-350,284.00",11.38,0.74,2.07,0.04,0.26,3.04,6.51,1.07,3.47,46.16,,467,514,0.25,
CCN,851,"124,800.00",91.66,4.40,0.91,0.04,0.04,3.75,4.78,2.93,1.11,30.67,,868,859,-8.26,
CCP,"1,744",,147.42,1.26,1.00,0.02,0,1.59,0.85,0.51,3.44,52.09,,953,954,1.93,
CEN,"1,356","-31,635.00",,0.55,0.79,,0,-2.55,-4.92,-6.12,,63.96,,,,,2
CENTEL,"46,575","-1,676,125.00",25.18,4.47,1.28,0.55,1.37,10.92,18.81,9.28,1.61,51.64,,430,486,0.59,2
CFRESH,"3,430","-154,810.00",13.31,1.71,1.37,0.28,0.56,11.41,12.68,3.38,3.78,32.16,,372,306,-0.24,2
CGD,"7,336","-17,580.00",,1.32,1.20,,0,-1.3,-4.94,-46.76,,45.59,,,,,1
CGH,"6,765",,17.29,1.13,0.32,0.05,0.09,5.73,6.62,28.82,2.95,48.86,,592,555,0.07,2
CHARAN,420,,16.47,0.71,0.35,1.50,2.12,3.75,4.32,13.31,4.23,55.40,,623,603,0.1,1
CHEWA,"1,028",,16.29,1.05,2.25,0.03,0.08,4.42,7.58,5.24,2.17,34.48,,551,581,-0.68,
CHG,"26,620","-1,314,194.00",47.17,8.64,0.41,0.01,0.05,17.22,18.52,15.43,1.50,39.49,,549,499,3.31,2
CHO,"1,893","-47,978.00",,2.76,1.51,,0,-3.24,-13.25,-8.45,,45.25,,,,,2
CHOTI,"1,658",,13.24,1.26,0.35,16.00,16.69,8.45,9.85,3.59,7.27,20.18,,437,382,0.01,
CHOW,"4,400",,135.24,3.44,9.31,,0.04,1.73,2.62,1.19,,33.66,,920,944,-2.37,2
CHUO,211,,,0.80,1.24,,0,-18.49,-49.3,-36.99,,67.50,,,,,
CI,"1,447","565,183.00",8.99,0.98,3.46,0.06,0.2,8.44,11.44,5.06,3.29,50.82,,287,281,-0.03,2
CIG,571,,,0.73,0.41,,0,1,-0.25,-0.2,,75.90,,,,,
CIMBT,"31,959","-457,318.57",,1.19,10.14,,0,-0.26,-2.34,-3.73,,6.29,,,,,2
CITY,918,,13.01,0.70,0.04,0.08,0.24,5.23,5.51,15.16,2.63,26.78,,531,487,2.75,1
CK,"46,582","6,647,775.00",23.26,2.17,3.40,0.25,1.18,3.5,9.55,4.21,1.85,61.34,,598,704,0.1,3
CKP,"23,437","-514,328.00",425.70,1.32,1.62,0.06,0.01,2.37,0.31,0.86,1.90,24.90,,971,930,5.39,2
CM,"1,925","-402,940.00",9.81,1.31,0.10,0.35,0.52,15.7,13.94,13.2,6.80,30.89,,257,149,0.17,2
CMO,439,"-344,423.00",,0.97,1.50,0.06,0,0.01,-9.52,-3.42,8.43,55.95,25.97,,,,
CMR,"17,299",,44.62,4.89,0.86,0.05,0.1,10.06,12.39,10.96,1.06,15.07,,653,616,1.58,1
CNS,"5,032",,12.21,0.92,0.88,0.18,0.19,4.8,7.52,24.36,7.69,14.18,,469,484,0.12,2
CNT,"4,172","22,590.00",29.69,2.31,1.76,0.05,0.14,2.98,7.98,2.01,2.38,25.13,,693,779,0.38,2
COL,"9,440","-2,975.00",24.56,1.79,0.58,0.55,1.2,6,7.44,3.26,1.86,46.68,,654,632,0.22,2
COLOR,910,638.00,41.57,1.24,0.54,0.04,0.04,3.07,3.04,2.3,2.20,48.90,,844,831,0.03,1
COM7,"12,000","440,160.00",29.52,6.02,1.43,0.25,0.34,11.41,21.67,2.36,2.45,37.41,10.41,449,519,0.76,1
COMAN,"1,253",,37.55,3.07,0.10,0.05,0.25,10.77,12.86,24.98,0.55,23.21,,611,569,,
CPALL,"530,003","14,439,100.00",31.79,9.61,5.30,1.00,1.86,8.39,36.04,3.69,1.69,59.52,,403,611,1.85,
CPF,"214,867","144,148,210.50",14.62,1.59,2.91,0.45,1.9,7.15,11.76,3.08,3.39,47.25,,418,462,1.7,3
CPH,294,,,0.38,0.74,,0,-6.17,-12.36,-7.76,,38.96,,,,,
CPI,"1,430","-23,696.00",,0.81,1.70,0.03,0,0.78,-0.92,-0.31,1.35,40.94,,,,,2
CPL,898,,,1.00,0.68,,0,-3.48,-5.96,-3.17,,29.54,,,,,1
CPN,"253,572","7,385,775.00",27.43,4.87,0.99,0.83,2.06,11.24,18.87,30.7,1.47,46.85,,452,500,0.56,3
CPR,"1,214","-21,690.00",14.64,1.94,0.13,0.14,0.42,15.11,13.94,16.75,2.30,18.68,,368,268,0.85,
CRANE,"1,755","-19,988.40",,1.63,1.67,,0,-6.14,-22.97,-42.45,,40.94,,,,,
CSC,"3,016","582,500.00",8.22,1.03,0.20,2.50,7.06,13.41,13.1,12.36,4.31,38.11,,244,146,0.63,1
CSL,"3,656","-5,535.00",11.96,5.13,1.66,0.22,0.51,21.2,44.66,10.48,7.21,43.66,,137,158,-0.14,3
CSP,"1,022",-630.00,8.85,1.40,1.81,0.10,0.23,6.97,17.26,4.24,4.85,15.10,,180,331,-0.14,1
CSR,"1,251",,20.38,1.00,0.15,1.80,2.99,5.31,4.96,36.75,3.00,19.41,,663,605,1.92,1
CSS,"3,457","-166,490.00",20.38,2.09,1.27,0.10,0.14,6.07,10.29,3.6,5.41,65.46,,543,583,1.44,1
CTW,"4,258","-100,160.00",15.11,1.04,0.37,0.20,0.71,6.71,7.03,4.24,1.87,27.36,,551,490,-0.16,1
CWT,"1,870","-92,400.00",42.88,1.51,1.30,0.03,0.07,3.55,4.32,2.67,1.10,60.66,,826,819,-1.78,
DAII,"5,478",,,2.56,0.38,0.05,0,-4.02,-6.3,-4.57,0.12,40.76,,,,,
DCC,"28,331","-915,264.00",19.92,8.51,0.71,0.04,0.22,32.91,44.41,19.79,3.71,48.86,,281,278,7.04,2
DCON,"2,659","-17,945.00",19.25,1.27,0.15,0.01,0.03,10.06,9.86,13.35,1.43,47.38,,534,436,0.91,1
DCORP,"3,761","195,810.00",,4.12,0.06,,0,-8.4,-9.29,-36.01,,84.64,25.39,,,,
DELTA,"106,027","21,698,000.00",19.22,3.32,0.45,3.00,4.42,12.75,17.67,11.58,3.52,36.88,,375,373,1.19,3
DEMCO,"4,492","1,233,500.00",,1.52,1.51,,0,-1.95,-5.29,-2.11,,63.76,15.23,,,,3
DIMET,699,,,5.33,0.73,,0,-1.54,-2.64,-2.83,,63.03,,,,,1
DNA,"4,286","229,300.00",,13.50,0.84,,0,-31.91,-53.68,-37.3,,28.87,,,,,1
DRACO,"1,236",,,1.29,1.29,,0,-5.8,-15.24,-8.76,,17.44,,,,,
DRT,"6,183","18,345.00",14.27,2.95,0.71,0.15,0.41,15.04,18.58,9.42,5.13,36.25,,284,259,-40.43,3
DSGT,"6,199",,90.14,2.63,1.87,,0.05,3.11,2.93,0.92,,24.28,,899,884,,
DTAC,"94,712","7,875,250.00",45.41,3.49,3.25,,0.88,3.67,7.67,2.52,1.08,29.36,,757,817,-1.86,3
DTC,"7,863","1,870.00",68.89,1.71,0.80,0.10,0.13,2.32,2.49,2.1,1.06,16.47,,897,897,-0.42,3
DTCI,280,,9.32,0.84,0.16,0.70,3,10.18,9.38,12.39,2.26,22.31,,376,261,0.13,
EA,"92,877","3,646,210.00",28.56,8.16,2.65,0.15,0.87,11.38,32.7,31.15,0.61,34.56,,384,503,0.17,2
EARTH,"15,703",,18.01,1.41,2.07,0.10,0.25,5.95,7.99,4.71,3.36,55.41,22.57,563,555,0.48,1
