,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2013-06-30,306.03,121.73999999999998,1.0136261843238585,1.7,,150.98,153.60999999999999,38.0,0.65,155.06,342.66,26.53,1498.8,188.49,120.0,1310.32,100.15,16.32,-204.0,2.6300000000000003,9.372686052242484,3.48,0.14,2.32,1.7,0.73,32.488466838931956,44.547123169681306,37.172118863049086,40.31785529715762,41.77,6,2013,,204.17586206896553,,120.10344827586208,278.64
2013-09-30,203.82000000000005,41.31,0.3447341772151899,-0.0038585770405938254,,51.370000000000005,54.460000000000036,34.5,0.65,152.45,204.76,25.13,1510.6,173.51,120.0,1337.09,-142.3,4.389999999999997,0.0,3.089999999999999,25.016666666666666,3.1,0.13,2.67,1.7,0.64,10.938531645569622,14.811949367088609,12.358784810126584,13.32455696202532,36.74,9,2013,,-0.4623789228981252,,119.8314606741573,319.95
2013-12-31,308.17999999999995,20.879999999999995,0.1739846844467916,0.0025370650035754097,,25.029999999999973,28.099999999999966,35.0,0.65,283.15000000000003,174.21,34.34,1638.57,286.09,120.0,1352.48,-26.22999999999999,-4.329999999999998,0.0,3.0700000000000003,50.27568965517242,3.11,0.21,2.84,1.7,0.6,5.097016107736994,6.6971851069448105,6.175231053604436,6.410477950884605,28.91,12,2013,,0.30447460041148133,,120.0105633802817,340.83
2014-03-31,194.22,36.67,0.31,0.0,,46.78,47.25,37.25,0.0,147.44,167.03,53.68,1543.32,131.47,120.0,1411.84,3.61,-10.79,0.0,0.47,30.04,3.17,0.09,0.31,0.0,0.0,9.52,11.64,10.4,10.2,18.88,3,2014,,0.0,,118.29032258064517,36.67
2014-06-30,223.10999999999999,54.81999999999999,0.4553852880096185,2.5,,66.91,74.31,35.0,0.01,156.20999999999998,35.11,52.1,1332.67,156.44,120.0,1176.23,150.98999999999998,17.09,-300.0,7.4,19.213400674936157,3.57,0.13,0.76,2.5,3.29,16.465773308558312,19.24602033009072,18.646829161657013,17.640187998688383,21.92,6,2014,,300.95394736842104,,120.38157894736841,91.49
2014-09-30,207.32999999999998,45.709999999999994,0.37980612244897954,-0.000637755102040982,,57.099999999999994,48.93000000000001,35.75,0.01,150.22000000000003,112.32,52.6,1442.33,171.82,120.0,1270.51,73.23000000000002,3.9799999999999995,0.0,-8.17,23.532006125574274,3.38,0.14,1.14,2.5,2.19,12.673530612244896,15.418795918367346,14.39265306122449,14.019510204081632,21.96,9,2014,,-0.07675438596493223,,120.35087719298245,137.2
2014-12-31,317.71000000000004,99.22,0.8267633871922849,-0.0070978351046382775,,123.54999999999998,139.70999999999998,36.5,0.01,194.16999999999996,287.0,50.79,1579.12,229.13,120.0,1349.99,171.09,3.59,0.0,16.16,11.038254888127394,3.24,0.17,1.97,2.5,1.27,25.13024955587514,30.720345148464602,29.39416631418662,29.377379240335,25.09,12,2014,,-0.8518122717962342,,120.01015228426395,236.42
2015-03-31,204.78,41.24,0.34,0.0,,50.5,54.62,35.75,0.0,154.28,252.87,51.87,1535.53,166.77,120.0,1368.76,-36.83,2.7,0.0,4.12,26.2875,3.13,0.12,0.34,0.0,0.0,10.76,13.12,12.04,11.88,20.14,3,2015,,0.0,,121.29411764705883,41.24
2015-06-30,224.73,55.82999999999999,0.46587308128154936,1.7,,69.09,73.35,29.25,0.0,155.64000000000001,70.26,54.82,1403.97,169.78,120.0,1234.19,15.739999999999998,2.2800000000000002,-200.63,4.260000000000001,15.695852140426295,2.84,0.14,0.81,1.7,2.1,15.897199958792624,20.10731224889255,18.105783455238484,18.51989286082209,22.6,6,2015,,203.72716049382714,,119.83950617283949,97.07
2015-09-30,238.63,62.43000000000001,0.5205761755485894,0.0012092573241998727,,77.81,82.33000000000001,28.75,0.0,160.82,102.44,53.13,1464.83,190.25,120.19,1274.58,24.17,6.0,2.0,4.52,13.809026109242351,2.71,0.15,1.33,1.7,1.28,17.04984827586207,21.261426959247654,19.58618934169279,19.617502194357368,23.87,9,2015,,0.14501995730066142,,119.92481203007519,159.5
2015-12-31,222.32000000000005,29.039999999999992,0.24182030338389726,0.0023267035734024924,,36.03999999999999,38.599999999999994,24.7,0.02,186.27999999999997,128.01,58.45,1518.19,221.02,120.3,1297.17,25.810000000000002,-2.7300000000000004,2.490000000000009,2.5600000000000005,25.53145833333334,2.29,0.17,1.57,1.7,1.08,7.6519953325554235,9.284667444574094,8.951971995332553,8.77330221703617,21.17,12,2015,,0.27941190556006745,,120.08917197452229,188.54
2016-03-31,190.44,22.21,0.18,0.0,,27.39,31.87,24.3,0.0,163.05,195.56,55.7,1584.23,174.17,120.44,1410.06,57.51,7.1,2.94,4.48,33.75,2.08,0.12,0.18,0.0,0.0,5.599999999999999,7.04,6.32,6.400000000000001,11.66,3,2016,,0.0,,123.3888888888889,22.21
2016-06-30,249.62,69.13999999999999,0.5752205801860973,1.65,,85.33,89.58999999999999,22.2,0.0,164.27999999999997,67.79,53.53,1411.02,180.3,120.6,1230.72,61.23,9.090000000000002,-198.09,4.26,9.648298741683542,2.18,0.15,0.76,1.65,2.17,19.587774493705524,24.250088669950735,22.463877394636015,22.433602627257795,20.76,6,2016,,198.3256578947368,,120.19736842105262,91.35
